Movie(s),Relaese Date,Rating
The Shawshank Redemption,1994,9.3
The Godfather,1972,9.2
The Godfather: Part II,1974,9.0
The Dark Knight,2008,9.0
12 Angry Men,1957,9.0
Schindler's List,1993,8.9
The Lord of the Rings: The Return of the King,2003,8.9
Pulp Fiction,1994,8.9
"Il buono, il brutto, il cattivo",1966,8.8
Fight Club,1999,8.8
Joker,2019,8.5
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Forrest Gump,1994,8.8
Inception,2010,8.8
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
The Lord of the Rings: The Two Towers,2002,8.7
The Matrix,1999,8.7
One Flew Over the Cuckoo's Nest,1975,8.7
Goodfellas,1990,8.7
Shichinin no samurai,1954,8.6
Se7en,1995,8.6
Cidade de Deus,2002,8.6
La vita è bella,1997,8.6
The Silence of the Lambs,1991,8.6
Star Wars,1977,8.6
It's a Wonderful Life,1946,8.6
Saving Private Ryan,1998,8.6
Sen to Chihiro no kamikakushi,2001,8.6
The Green Mile,1999,8.6
Léon,1994,8.5
Seppuku,1962,8.6
Interstellar,2014,8.6
The Usual Suspects,1995,8.5
The Lion King,1994,8.5
American History X,1998,8.5
Back to the Future,1985,8.5
The Pianist,2002,8.5
Modern Times,1936,8.5
Terminator 2: Judgment Day,1991,8.5
The Intouchables,2011,8.5
Psycho,1960,8.5
Gladiator,2000,8.5
City Lights,1931,8.5
The Departed,2006,8.5
Whiplash,2014,8.5
Once Upon a Time in the West,1968,8.5
The Prestige,2006,8.5
Avengers: Endgame,2019,8.4
Casablanca,1942,8.5
Hotaru no haka,1988,8.5
Rear Window,1954,8.4
Nuovo Cinema Paradiso,1988,8.5
Alien,1979,8.4
Raiders of the Lost Ark,1981,8.4
Memento,2000,8.4
Apocalypse Now,1979,8.4
The Great Dictator,1940,8.4
The Lives of Others,2006,8.4
Avengers: Infinity War,2018,8.4
Django Unchained,2012,8.4
Spider-Man: Into the Spider-Verse,2018,8.4
The Shining,1980,8.4
Paths of Glory,1957,8.4
WALL·E,2008,8.4
Sunset Blvd.,1950,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
Mononoke-hime,1997,8.4
Oldeuboi,2003,8.4
Witness for the Prosecution,1957,8.4
The Dark Knight Rises,2012,8.4
Once Upon a Time in America,1984,8.4
Gisaengchung,2019,8.6
Aliens,1986,8.3
American Beauty,1999,8.3
Coco I,2017,8.4
Kimi no na wa.,2016,8.4
Braveheart,1995,8.3
Das Boot,1981,8.3
3 Idiots,2009,8.4
Taare Zameen Par,2007,8.4
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Toy Story,1995,8.3
Reservoir Dogs,1992,8.3
Amadeus,1984,8.3
Dangal,2016,8.4
Good Will Hunting,1997,8.3
Inglourious Basterds,2009,8.3
M - Eine Stadt sucht einen Mörder,1931,8.3
Requiem for a Dream,2000,8.3
2001: A Space Odyssey,1968,8.3
Vertigo,1958,8.3
Eternal Sunshine of the Spotless Mind,2004,8.3
Citizen Kane,1941,8.3
Full Metal Jacket,1987,8.3
Jagten,2012,8.3
North by Northwest,1959,8.3
A Clockwork Orange,1971,8.3
Snatch,2000,8.3
Amélie,2001,8.3
The Kid,1921,8.3
      Pather Panchali,1955,8.5
      Ratsasan,2018,8.5
      Gol Maal,1979,8.5
      Nayakan,1987,8.5
      Anbe Sivam,2003,8.5
      Apur Sansar,1959,8.4
      Natsamrat,2016,8.4
      Kireedam,1989,8.4
      Black Friday,2004,8.4
      Pariyerum Perumal,2018,8.4
      Thevar Magan,1992,8.4
      Manichitrathazhu,1993,8.4
      96,2018,8.4
      3 Idiots,2009,8.4
      Kumbalangi Nights,2019,8.4
      Taare Zameen Par,2007,8.3
      Vikram Vedha,2017,8.3
      Anand,1971,8.3
      Dangal,2016,8.3
      Visaaranai,2015,8.3
      Thalapathi,1991,8.3
